block,ripple_amp,ripple_freq,E_phi_mean,E_zonal_mean,E_turb_mean,Ez_over_Et,tau_E_proxy
amp_freq8,0.0,8,3606.9802488051705,881.1097776180817,19998.96275116029,0.044057773824643,22543.626554891413
amp_freq8,0.01,8,3606.9836951266007,881.1084502795143,19998.94700622641,0.0440577421403833,22543.648094400352
amp_freq8,0.03,8,3606.985963101146,881.1057493275151,19998.9100167591,0.0440576885734846,22543.66226924126
amp_freq8,0.05,8,3606.982087111692,881.1030035357401,19998.86601914659,0.0440576482032624,22543.638044307172
amp_freq8,0.1,8,3606.94532240553,881.0957590400975,19998.72225032565,0.0440576026813788,22543.40826489366
amp_freq8,0.2,8,3606.7501142547776,881.0792587145637,19998.279288126814,0.0440577534707033,22542.188213951467
amp_freq8,0.4,8,3598.3075819649816,876.7947072177059,19921.22585648232,0.0440130900344367,22489.42238714057
freq_check,0.1,4,3606.9299646802874,881.0937311866429,19998.692897577697,0.0440575659468906,22543.312279110894
freq_check,0.1,16,3606.9944194861214,881.1044447463536,19998.93414504867,0.044057570186284,22543.71512164735
